"control_issn","control_doi","control_comparison_doi","control_title","control_publisher","control_journal","control_volume","control_issue","control_type","control_date","IF","control_is_oa","control_oa_journal","control_oa_evidence","control_oa_host_type","control_score","control_tweets","control_facebook","control_feeds","control_mendeley"
"0018-067X","10.1038/hdy.2015.79","10.1038/hdy.2015.88","Balance between inbreeding and outcrossing in a nannandrous species, the moss Homalothecium lutescens","Springer Nature","heredity","116","1","journal-article","2015-09-02","3.872",TRUE,FALSE,"open (via free pdf)","publisher",18.7,5,0,1,"12"
"0022-1503","10.1093/jhered/esv012","10.1093/jhered/esv059","Founded: Genetic Reconstruction of Lineage Diversity and Kinship InformsEx situConservation of Cuban Amazon Parrots (Amazona leucocephala)","Oxford University Press (OUP)","journal of heredity","106","S1","journal-article","2015-08-05","2.574",TRUE,FALSE,"open (via free pdf)","publisher",12.016,0,0,1,"20"
"0962-8452","10.1098/rspb.2015.0211","10.1098/rspb.2015.0339","Does natural selection favour taller stature among the tallest people on earth?","The Royal Society","proceedings of the royal society b: biological sciences","282","1806","journal-article","2015-04-09","4.847",TRUE,FALSE,"open (via free pdf)","publisher",253.512,95,6,7,"110"
"1932-6203","10.1371/journal.pone.0130143","10.1371/journal.pone.0130356","MODIS Based Estimation of Forest Aboveground Biomass in China","Public Library of Science (PLoS)","plos one","10","6","journal-article","2015-06-26","2.766",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"1742-5689","10.1098/rsif.2014.1109","10.1098/rsif.2014.1067","Single cell profiling of surface carbohydrates on Bacillus cereus","The Royal Society","journal of the royal society interface","12","103","journal-article","2014-12-10","3.355",TRUE,FALSE,"open (via free pdf)","publisher",0,0,0,0,NA
"1749-8104","10.1186/s13064-015-0031-0","10.1186/s13064-014-0028-0","Differential requirement of F-actin and microtubule cytoskeleton in cue-induced local protein synthesis in axonal growth cones","Springer Nature","neural development","10","1","journal-article","2015-02-24","2.13",TRUE,TRUE,"open (via page says license)","publisher",0.5,1,0,0,"57"
"1465-6906","10.1186/s13059-015-0601-9","10.1186/s13059-015-0612-6","Deep transcriptome sequencing provides new insights into the structural and functional organization of the wheat genome","Springer Nature","genome biology","16","1","journal-article","2015-02-09","13.214",TRUE,FALSE,"open (via page says license)","publisher",15.482,13,1,1,"89"
"0022-2496","10.1016/j.jmp.2016.11.001","10.1016/j.jmp.2016.10.007","The entangled nature of interdependence. Bistability, irreproducibility and uncertainty","Elsevier BV","journal of mathematical psychology","78",NA,"journal-article","2016-12-10","2.176",TRUE,FALSE,"open (via crossref license)","publisher",2.5,3,0,0,"16"
"0962-1083","10.1111/mec.13248","10.1111/mec.13214","Sky island diversification meets the multispecies coalescent - divergence in the spruce-fir moss spider (Microhexura montivaga,Araneae, Mygalomorphae) on the highest peaks of southern Appalachia","Wiley","molecular ecology","24","13","journal-article","2015-05-25","6.131",FALSE,FALSE,NA,NA,4.5,5,1,0,"61"
"1759-6653","10.1093/gbe/evv086","10.1093/gbe/evv083","Metagenome Skimming of Insect Specimen Pools: Potential for Comparative Genomics","Oxford University Press (OUP)","genome biology and evolution","7","6","journal-article","2015-05-16","3.94",TRUE,TRUE,"open (via page says Open Access)","publisher",3.85,9,0,0,"80"
"1474-760X",NA,"10.1186/s13059-015-0806-y",NA,NA,NA,NA,NA,NA,NA,"13.214",NA,NA,NA,NA,12.35,17,1,0,NA
"1872-4973","10.1016/j.fsigen.2015.06.012","10.1016/j.fsigen.2015.05.005","Multiplex Y-STRs analysis using the ion torrent personal genome machine (PGM)","Elsevier BV","forensic science international: genetics","19",NA,"journal-article","2015-07-17","5.637",FALSE,FALSE,NA,NA,0.75,2,0,0,"15"
"1932-6203","10.1371/journal.pone.0130684","10.1371/journal.pone.0114674","Microneedle Vaccination Elicits Superior Protection and Antibody Response over Intranasal Vaccination against Swine-Origin Influenza A (H1N1) in Mice","Public Library of Science (PLoS)","plos one","10","6","journal-article","2015-06-18","2.766",TRUE,TRUE,"open (via page says license)","publisher",1,1,0,0,"5"
"0028-0836","10.1038/nature14217","10.1038/nature14225","Integrative analysis of haplotype-resolved epigenomes across human tissues","Springer Nature","nature","518","7539","journal-article","2015-02-17","41.577",TRUE,FALSE,"open (via page says license)","publisher",66.712,18,1,2,"515"
"1932-6203","10.1371/journal.pone.0116855","10.1371/journal.pone.0116955","High Fat Diet Subverts Hepatocellular Iron Uptake Determining Dysmetabolic Iron Overload","Public Library of Science (PLoS)","plos one","10","2","journal-article","2015-02-03","2.766",TRUE,TRUE,"open (via page says license)","publisher",0.5,1,1,0,"27"
"1018-4813","10.1038/ejhg.2015.54","10.1038/ejhg.2015.68","Partial USH2A deletions contribute to Usher syndrome in Denmark","Springer Nature","european journal of human genetics","23","12","journal-article","2015-03-25","3.636",TRUE,FALSE,"open (via free pdf)","publisher",10.25,1,1,0,"22"
"2046-1402","10.12688/f1000research.7043.1","10.12688/f1000research.7534.1","Recent advances in the management of acromegaly","F1000 Research, Ltd.","f1000research",NA,NA,"journal-article","2015-12-11",NA,TRUE,TRUE,"open (via page says license)","publisher",0.75,1,1,0,"12"
"1478-3975","10.1088/1478-3975/12/4/046001","10.1088/1478-3975/12/4/045001","The fractional viscoelastic response of human breast tissue cells","IOP Publishing","physical biology","12","4","journal-article","2015-05-27","1.621",TRUE,FALSE,"open (via crossref license, author manuscript)","publisher",0,0,0,0,NA
"2047-217X","10.1186/s13742-015-0048-7","10.1186/s13742-015-0046-9","The signed Kolmogorov-Smirnov test: why it should not be used","Oxford University Press (OUP)","gigascience","4","1","journal-article","2015-02-26","7.267",TRUE,TRUE,"open (via page says Open Access)","publisher",9.25,12,2,0,"53"
"1362-4962","10.1093/nar/gku1259","10.1093/nar/gku1234","Specific minor groove solvation is a crucial determinant of DNA binding site recognition","Oxford University Press (OUP)","nucleic acids research","42","22","journal-article","2014-11-28","11.561",TRUE,TRUE,"oa journal (via doaj)","publisher",0,0,0,0,NA
"1051-0761","10.1002/eap.1377","10.1890/15-0595","Assessing the sustainability of African lion trophy hunting, with recommendations for policy","Wiley","ecological applications","26","7","journal-article","2016-06-10","4.393",TRUE,FALSE,"open (via free pdf)","publisher",48.554,34,9,1,"86"
"1088-9051","10.1101/gr.186379.114","10.1101/gr.185488.114","High-throughput gene targeting and phenotyping in zebrafish using CRISPR/Cas9","Cold Spring Harbor Laboratory","genome research","25","7","journal-article","2015-06-06","10.101",TRUE,FALSE,"open (via page says license)","publisher",52,34,1,1,"409"
"1439-1791","10.1016/j.baae.2015.08.004","10.1016/j.baae.2015.07.004","Deforestation, host community structure, and amphibian disease risk","Elsevier BV","basic and applied ecology","17","1","journal-article","2015-08-08","2.144",TRUE,FALSE,"open (via crossref license, author manuscript)","publisher",6.55,11,0,0,"67"
"0303-6812","10.1007/s00285-016-1039-8","10.1007/s00285-016-1034-0","Global stability of a class of futile cycles","Springer Nature","journal of mathematical biology","74","3","journal-article","2016-06-29","1.786",TRUE,FALSE,"oa repository (via OAI-PMH doi match)","repository",0.25,1,0,0,"3"
"1553-7404","10.1371/journal.pgen.1004801","10.1371/journal.pgen.1004845","Large-scale Metabolomic Profiling Identifies Novel Biomarkers for Incident Coronary Heart Disease","Public Library of Science (PLoS)","plos genetics","10","12","journal-article","2014-12-11","5.54",TRUE,TRUE,"oa journal (via doaj)","publisher",59.344,27,5,2,"139"
"1553-7404","10.1371/journal.pgen.1005310","10.1371/journal.pgen.1005406","Functional Constraint Profiling of a Viral Protein Reveals Discordance of Evolutionary Conservation and Functionality","Public Library of Science (PLoS)","plos genetics","11","7","journal-article","2015-07-01","5.54",TRUE,TRUE,"oa journal (via doaj)","publisher",1.25,2,0,0,"28"
"1367-4803","10.1093/bioinformatics/btv268","10.1093/bioinformatics/btv280","Integrative random forest for gene regulatory network inference","Oxford University Press (OUP)","bioinformatics","31","12","journal-article","2015-06-13","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",2.75,8,0,0,"45"
"0040-5809","10.1016/j.tpb.2015.04.004","10.1016/j.tpb.2015.05.002","Alternative stable states in a stage-structured consumer–resource biomass model with niche shift and seasonal reproduction","Elsevier BV","theoretical population biology","103",NA,"journal-article","2015-05-08","1.259",FALSE,FALSE,NA,NA,0,0,0,0,NA
"2160-1836","10.1534/g3.115.021584","10.1534/g3.114.016493","
            Fine-Mapping the Wheat
            Snn1
            Locus Conferring Sensitivity to the
            Parastagonospora nodorum
            Necrotrophic Effector SnTox1 Using an Eight Founder Multiparent Advanced Generation Inter-Cross Population
          ","Genetics Society of America","g3&amp;#58; genes|genomes|genetics","5","11","journal-article","2015-09-30","2.742",TRUE,TRUE,"open (via page says license)","publisher",13.93,10,1,1,"28"
"1662-5196","10.3389/fninf.2015.00006","10.3389/fninf.2015.00008","AuthorSynth: a collaboration network and behaviorally-based visualization tool of activation reports from the neuroscience literature","Frontiers Media SA","frontiers in neuroinformatics","9",NA,"journal-article","2015-03-25","3.074",TRUE,TRUE,"open (via page says license)","publisher",7.2,11,0,0,"20"
"0027-8424","10.1073/pnas.1501303112","10.1073/pnas.1418631112","Structure of bone morphogenetic protein 9 procomplex","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences",NA,NA,"journal-article","2015-03-07","9.504",TRUE,FALSE,"open (via free pdf)","publisher",20.858,2,0,1,"45"
"1367-4803","10.1093/bioinformatics/btu864","10.1093/bioinformatics/btv013","Functional Gene Networks: R/Bioc package to generate and analyse gene networks derived from functional enrichment and clustering","Oxford University Press (OUP)","bioinformatics","31","10","journal-article","2015-01-20","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",3.85,10,0,0,"95"
"1063-5157","10.1093/sysbio/syu089","10.1093/sysbio/syu108","Calibrated Birth–Death Phylogenetic Time-Tree Priors for Bayesian Inference","Oxford University Press (OUP)","systematic biology","64","3","journal-article","2014-11-15","8.523",TRUE,FALSE,"open (via page says Open Access)","publisher",3,6,0,0,"102"
"1553-7358","10.1371/journal.pcbi.1004094","10.1371/journal.pcbi.1004080","Improved Statistical Methods Enable Greater Sensitivity in Rhythm Detection for Genome-Wide Data","Public Library of Science (PLoS)","plos computational biology","11","3","journal-article","2015-03-20","3.955",TRUE,TRUE,"oa journal (via doaj)","publisher",6.6,9,1,0,"54"
"1061-4036","10.1038/ng.3149","10.1038/ng.3162","The genome sequence of the orchid Phalaenopsis equestris","Springer Nature","nature genetics","47","1","journal-article","2014-11-24","27.125",TRUE,FALSE,"open (via page says license)","publisher",102.97,89,10,2,"222"
"2045-2322","10.1038/srep11958","10.1038/srep10950","Graphene wrapped ordered LiNi0.5Mn1.5O4 nanorods as promising cathode material for lithium-ion batteries","Springer Nature","scientific reports","5","1","journal-article","2015-07-07","4.122",TRUE,TRUE,"open (via page says license)","publisher",0,0,0,0,NA
"0002-9483","10.1002/ajpa.22887","10.1002/ajpa.22890","Erratum: Body mass estimation from knee breadth, with application to early hominins. By Nicole Squyres and Christopher B. Ruff Am J Phys Anthropol 158:198-208, 2015. DOI: 10.1002/ajpa.22789","Wiley","american journal of physical anthropology","159","3","journal-article","2015-10-20","2.901",TRUE,FALSE,"open (via free pdf)","publisher",0,0,0,0,NA
"1537-1719","10.1093/molbev/msu322","10.1093/molbev/msu301","Strong Artificial Selection in Domestic Mammals Did Not Result in an Increased Recombination Rate","Oxford University Press (OUP)","molecular biology and evolution","32","2","journal-article","2014-11-21","10.217",TRUE,FALSE,"open (via free pdf)","publisher",18.5,17,1,0,"59"
"1471-2164","10.1186/s12864-015-1415-6","10.1186/s12864-015-1264-3","Natural variation of gene models in Drosophila melanogaster","Springer Nature","bmc genomics","16","1","journal-article","2015-03-16","3.73",TRUE,TRUE,"open (via page says license)","publisher",4.6,9,1,0,"17"
"1367-4803","10.1093/bioinformatics/btv267","10.1093/bioinformatics/btv408","Inferring orthologous gene regulatory networks using interspecies data fusion","Oxford University Press (OUP)","bioinformatics","31","12","journal-article","2015-06-13","5.481",TRUE,FALSE,"open (via page says Open Access)","publisher",4,5,0,0,"43"
"0896-6273","10.1016/j.neuron.2015.03.004","10.1016/j.neuron.2015.03.028","A Coding Transformation for Temporally Structured Sounds within Auditory Cortical Neurons","Elsevier BV","neuron","86","1","journal-article","2015-04-08","14.319",TRUE,FALSE,"open (via crossref license)","publisher",76.976,14,3,2,"124"
"0730-8000","10.2983/035.034.0203","10.2983/035.034.0205","The Exposed Surface Area to Volume Ratio: Is Shell More Efficient than Limestone in Promoting Oyster Recruitment?","National Shellfisheries Association","journal of shellfish research","34","2","journal-article","2015-08-26","0.951",FALSE,FALSE,NA,NA,0.5,1,0,0,"46"
"1759-6653","10.1093/gbe/evv178","10.1093/gbe/evv189","Insights into the Evolutionary Relationships of LytA Autolysin and Ply Pneumolysin-Like Genes inStreptococcus pneumoniaeand Related Streptococci","Oxford University Press (OUP)","genome biology and evolution","7","9","journal-article","2015-09-09","3.94",TRUE,TRUE,"open (via page says Open Access)","publisher",1,2,0,0,"21"
"0027-8424","10.1073/pnas.1602809113","10.1073/pnas.1608278113","Epigenetic modification ofOXTand human sociability","Proceedings of the National Academy of Sciences","proceedings of the national academy of sciences","113","27","journal-article","2016-06-21","9.504",TRUE,FALSE,"open (via free pdf)","publisher",936.896,79,6,8,"94"
"0896-6273","10.1016/j.neuron.2016.04.026","10.1016/j.neuron.2016.04.014","C9ORF72 -ALS/FTD: Transgenic Mice Make a Come-BAC","Elsevier BV","neuron","90","3","journal-article","2016-05-07","14.319",TRUE,FALSE,"open (via crossref license)","publisher",9.75,3,0,0,"54"
"1553-7358","10.1371/journal.pcbi.1004205","10.1371/journal.pcbi.1004220","Ten Simple (Empirical) Rules for Writing Science","Public Library of Science (PLoS)","plos computational biology","11","4","journal-article","2015-04-30","3.955",TRUE,TRUE,"oa journal (via doaj)","publisher",499.026,586,27,11,"467"
"1553-7358","10.1371/journal.pcbi.1004849","10.1371/journal.pcbi.1004873","A Simple and Accurate Model to Predict Responses to Multi-electrode Stimulation in the Retina","Public Library of Science (PLoS)","plos computational biology","12","4","journal-article","2016-04-01","3.955",TRUE,TRUE,"open (via page says license)","publisher",0.75,3,0,0,"38"
"1552-5007","10.1002/jez.b.22630","10.1002/jez.b.22629","Developmental stages of the climbing geckoTarentola annulariswith special reference to the claws, pad lamellae, and subdigital setae","Wiley","journal of experimental zoology part b: molecular and developmental evolution","324","5","journal-article","2015-06-11","2.432",FALSE,FALSE,NA,NA,1.85,2,0,0,"15"
