"SOURCETITLE","YEAR","IF"
"biochimica et biophysica acta - general subjects",2017,3.79
"mitochondrion",2016,3.79
"molecular biology of the cell",2016,3.78
"bioinspiration and biomimetics",2015,3.78
"journal of psychopharmacology",2012,3.78
"frontiers in neuroscience",2012,3.78
"biology of blood and marrow transplantation",2012,3.78
"heredity",2017,3.78
"frontiers in plant science",2013,3.78
"journal of biological engineering",2016,3.78
"planta",2013,3.78
"heredity",2016,3.78
"plant and cell physiology",2012,3.78
"npj biofilms and microbiomes",2016,3.77
"biology of blood and marrow transplantation",2014,3.77
"biochimica et biophysica acta - biomembranes",2016,3.77
"european journal of human genetics",2012,3.77
"drug safety",2017,3.77
"biological psychology",2013,3.77
"analytical and bioanalytical chemistry",2014,3.77
"journal of cognitive neuroscience",2015,3.77
"talanta",2013,3.77
"industrial crops and products",2013,3.77
"toxicology research",2013,3.77
"genes chromosomes and cancer",2012,3.76
"autism research",2012,3.76
"soft matter",2012,3.76
"molecular microbiology",2017,3.76
"febs journal",2016,3.76
"american journal of physiology - renal physiology",2012,3.76
"neurobiology of learning and memory",2016,3.76
"environmental health: a global access science source",2015,3.76
"neural development",2013,3.76
"soft matter",2017,3.76
"social cognitive and affective neuroscience",2016,3.76
"journal of biological rhythms",2017,3.75
"american journal of physiology - cell physiology",2012,3.75
"metabolites",2016,3.75
"plos one",2014,3.75
"phytochemistry",2013,3.75
"molecular plant-microbe interactions",2017,3.75
"frontiers in human neuroscience",2015,3.75
"environmental science and policy",2014,3.75
"journal of neural engineering",2016,3.75
"cell cycle",2015,3.75
"journal of the royal society interface",2016,3.75
"oikos",2015,3.75
"journal of cheminformatics",2016,3.74
"briefings in functional genomics",2012,3.74
"molecular neurobiology",2017,3.74
"neural development",2015,3.74
"american journal of physiology - renal physiology",2014,3.74
"plant science",2015,3.74
"ecosphere",2013,3.74
"bmc evolutionary biology",2013,3.74
"behavioural brain research",2013,3.74
"european journal of medicinal chemistry",2013,3.74
"bmc evolutionary biology",2014,3.74
"obesity",2012,3.73
"journal of physiology",2017,3.73
"international journal for parasitology",2013,3.73
"ecological indicators",2015,3.73
"acs chemical neuroscience",2016,3.73
"tree physiology",2014,3.73
"calcified tissue international",2014,3.73
"neuroscience",2014,3.73
"molecular medicine",2015,3.73
"american journal of physiology - cell physiology",2015,3.72
"cognitive psychology",2016,3.72
"nature plants",2018,3.72
"biomedical optics express",2017,3.72
"world journal of gastroenterology",2016,3.72
"biochemical society transactions",2014,3.72
"oikos",2016,3.72
"journal of cellular physiology",2017,3.72
"toxicology letters",2013,3.72
"international journal for parasitology",2012,3.72
"genetics selection evolution",2017,3.72
"molecular and cellular biology",2017,3.72
"orphanet journal of rare diseases",2016,3.72
"cognition",2012,3.71
"molecular human reproduction",2015,3.71
"journal of complex networks",2015,3.71
"tree physiology",2013,3.71
"briefings in functional genomics",2016,3.71
"neuron",2018,3.71
"vaccine",2012,3.71
"geobiology",2015,3.71
"viruses",2016,3.71
"biological psychiatry: cognitive neuroscience and neuroimaging",2017,3.71
"nature microbiology",2018,3.71
"international journal of molecular sciences",2015,3.71
"photosynthesis research",2016,3.71
"experimental cell research",2014,3.71
"american journal of medical genetics, part b: neuropsychiatric genetics",2013,3.7
"investigative ophthalmology and visual science",2014,3.7
"pharmacogenomics journal",2016,3.7
"experimental cell research",2016,3.7
"journal of comparative neurology",2013,3.7
"heredity",2014,3.7
"viruses",2013,3.7
"mitochondrion",2014,3.7
"malaria journal",2013,3.7
"infection, genetics and evolution",2013,3.69
"journal of structural biology",2013,3.69
"schizophrenia research",2017,3.69
"insect biochemistry and molecular biology",2016,3.69
"biological psychology",2014,3.69
"frontiers in behavioral neuroscience",2012,3.69
"forensic science international: genetics",2012,3.69
"applied and environmental microbiology",2017,3.69
"philosophical transactions of the royal society a: mathematical, physical and engineering sciences",2013,3.69
"european journal of human genetics",2016,3.69
"pathogens",2016,3.69
"journal of cheminformatics",2017,3.69
"orphanet journal of rare diseases",2012,3.69
"open biology",2016,3.68
"frontiers in pharmacology",2017,3.68
"biomedical optics express",2012,3.68
"psychophysiology",2013,3.68
"environmental health: a global access science source",2016,3.68
"oikos",2013,3.68
"developmental biology",2012,3.68
"ieee transactions on biomedical engineering",2013,3.68
"cancer medicine",2016,3.68
"neuropsychologia",2014,3.68
"journal of alzheimer's disease",2016,3.68
"npj genomic medicine",2017,3.68
"journal of ethnopharmacology",2014,3.68
"bmc cancer",2015,3.68
"applied and environmental microbiology",2012,3.67
"optics express",2016,3.67
"plant genome",2013,3.67
"clinical neurophysiology",2017,3.67
"vaccine",2015,3.67
"nicotine and tobacco research",2015,3.67
"tuberculosis",2013,3.67
"biological psychology",2015,3.67
"neurochemistry international",2014,3.67
"oikos",2014,3.67
"breast cancer research and treatment",2017,3.67
"journal of biomedical informatics",2014,3.67
"metabolomics",2015,3.66
"american journal of physiology - cell physiology",2016,3.66
"neurochemistry international",2015,3.66
"biophysical journal",2015,3.66
"plant methods",2014,3.66
"bioinspiration and biomimetics",2013,3.66
"american journal of psychiatry",2018,3.66
"progress in biophysics and molecular biology",2012,3.66
"evolution and human behavior",2015,3.65
"current opinion in insect science",2016,3.65
"journal of ethnopharmacology",2013,3.65
"journal of chemical information and modeling",2012,3.65
"ebiomedicine",2016,3.65
"intelligence",2014,3.65
"antimicrobial resistance and infection control",2017,3.65
"cell calcium",2016,3.65
"proteomics",2017,3.65
"ieee transactions on biomedical circuits and systems",2014,3.64
"brain structure and function",2017,3.64
"clinical epigenetics",2013,3.64
"investigative ophthalmology and visual science",2015,3.64
"cognition",2015,3.64
"stem cells international",2016,3.64
"evodevo",2012,3.64
"alcoholism: clinical and experimental research",2013,3.64
"biology letters",2014,3.64
"ieee transactions on biomedical circuits and systems",2016,3.64
"social neuroscience",2013,3.63
"biogerontology",2014,3.63
"journal of biomedical informatics",2013,3.63
"toxicology letters",2014,3.63
"analytical and bioanalytical chemistry",2016,3.63
"annals of intensive care",2013,3.63
"psychiatry research - neuroimaging",2012,3.63
"american journal of physiology - renal physiology",2016,3.63
"cpt: pharmacometrics and systems pharmacology",2016,3.63
"oikos",2017,3.63
"molecular biology of the cell",2017,3.63
"journal of pharmacology and experimental therapeutics",2017,3.63
"acs nano",2018,3.63
"neuroscience",2013,3.62
"biochimica et biophysica acta - biomembranes",2017,3.62
"journal of alzheimer's disease",2017,3.62
"quaternary science reviews",2012,3.62
"orphanet journal of rare diseases",2017,3.62
"parasites and vectors",2013,3.62
"methods",2013,3.62
"plant science",2016,3.62
"virology",2016,3.62
"virology",2014,3.61
"fems microbiology ecology",2012,3.61
"rna biology",2017,3.61
"glycobiology",2014,3.61
"frontiers in pharmacology",2013,3.61
"field crops research",2014,3.61
"international journal of biochemistry and cell biology",2016,3.61
"neurophotonics",2017,3.6
"skeletal muscle",2014,3.6
"molecular and cellular endocrinology",2017,3.6
"frontiers in zoology",2017,3.6
"biochimica et biophysica acta - general subjects",2012,3.6
"bmc evolutionary biology",2015,3.6
"science of the total environment",2013,3.6
"microbial ecology",2016,3.6
"biogerontology",2017,3.59
"proteomics - clinical applications",2014,3.59
"european journal of neuroscience",2014,3.59
"drug safety",2014,3.59
"apl materials",2017,3.59
"glycobiology",2012,3.59
"statistical methods in medical research",2015,3.59
"neuroscience",2015,3.58
"molecular human reproduction",2012,3.58
"journal of autism and developmental disorders",2016,3.58
"theoretical and applied genetics",2012,3.58
"american journal of medical genetics, part b: neuropsychiatric genetics",2016,3.58
"industrial crops and products",2016,3.58
"environmental science and policy",2015,3.58
"brain topography",2016,3.58
"stem cells international",2014,3.58
"journal of comparative neurology",2015,3.58
"frontiers in neuroinformatics",2015,3.58
"genes and cancer",2012,3.58
"insect biochemistry and molecular biology",2017,3.58
"molecular human reproduction",2017,3.58
"science translational medicine",2018,3.58
"european psychiatry",2015,3.58
"journal of biological rhythms",2016,3.57
"brain structure and function",2013,3.57
"frontiers in neuroinformatics",2014,3.57
"frontiers in systems neuroscience",2017,3.57
"cell communication and signaling",2014,3.57
"brain and language",2013,3.57
"virology",2013,3.56
"cytokine",2017,3.56
"forensic science international: genetics",2016,3.56
"biochimica et biophysica acta - proteins and proteomics",2013,3.56
"molecular and cellular endocrinology",2012,3.56
"viruses",2015,3.56
"journal of structural biology",2017,3.56
"molecular biosystems",2014,3.56
"metabolomics",2016,3.56
"briefings in functional genomics",2017,3.56
"cpt: pharmacometrics and systems pharmacology",2015,3.56
"brain and language",2014,3.55
"plos one",2012,3.55
"cognitive, affective and behavioral neuroscience",2014,3.55
"journal of agricultural and food chemistry",2013,3.55
"brain structure and function",2014,3.55
"evolution and human behavior",2014,3.55
"psychonomic bulletin and review",2014,3.55
"neural development",2014,3.55
"pflugers archiv european journal of physiology",2013,3.55
"seminars in thrombosis and hemostasis",2015,3.55
"cognition",2016,3.55
"chromosoma",2013,3.55
"frontiers in molecular neuroscience",2014,3.54
"journal of physical chemistry b",2013,3.54
"journal of orthopaedic research",2014,3.54
"environmental microbiology reports",2015,3.54
"cognitive, affective and behavioral neuroscience",2013,3.54
"biochemical society transactions",2017,3.54
"vaccine",2016,3.54
"infection and immunity",2016,3.54
"journal of ethnopharmacology",2015,3.54
"journal of structural biology",2014,3.54
"frontiers in behavioral neuroscience",2015,3.53
"journal of orthopaedic research",2013,3.53
"journal of biological engineering",2015,3.53
"developmental science",2017,3.53
"bmc bioinformatics",2013,3.53
"cellular signalling",2017,3.53
"pathogens",2017,3.53
"international journal for parasitology: drugs and drug resistance",2014,3.53
"behavior research methods",2014,3.53
"parasites and vectors",2015,3.52
"journal of evolutionary biology",2013,3.52
"molecular human reproduction",2016,3.52
"cytokine",2016,3.52
"applied microbiology and biotechnology",2016,3.52
"neurochemistry international",2016,3.52
"siam review",2014,3.52
"protoplasma",2013,3.52
"virology",2015,3.52
"protein and cell",2015,3.51
"frontiers in systems neuroscience",2016,3.51
"developmental biology",2015,3.51
"frontiers in neuroanatomy",2013,3.51
"frontiers in zoology",2014,3.51
"international journal of molecular sciences",2016,3.51
"evolution and human behavior",2017,3.51
"proteomics - clinical applications",2016,3.51
"briefings in functional genomics",2015,3.51
"frontiers in molecular neuroscience",2012,3.5
"frontiers in human neuroscience",2014,3.5
"journal of the royal society interface",2017,3.5
"applied microbiology and biotechnology",2017,3.5
"tree physiology",2015,3.5
"virology",2012,3.5
"journal of alzheimer's disease",2012,3.5
"international journal of medical informatics",2015,3.5
"european psychiatry",2017,3.5
"neural plasticity",2012,3.5
"journal of bacteriology",2014,3.5
"brain stimulation",2012,3.5
"physiology and behavior",2013,3.5
"cancer biology and therapy",2014,3.49
"industrial crops and products",2014,3.49
"frontiers in behavioral neuroscience",2013,3.49
"soil biology and biochemistry",2012,3.49
"behavioral neuroscience",2013,3.49
"frontiers in neural circuits",2014,3.49
"journal of agricultural and food chemistry",2017,3.49
"mitochondrion",2012,3.49
"genes and immunity",2014,3.49
"progress in biophysics and molecular biology",2016,3.48
"journal of orthopaedic research",2015,3.48
"journal of general virology",2014,3.48
"microbial ecology",2013,3.48
"movement ecology",2017,3.48
"glycobiology",2015,3.48
"journal of human evolution",2014,3.48
"frontiers in neuroanatomy",2016,3.48
"journal of natural products",2016,3.48
"hormones and behavior",2016,3.48
"analyst",2012,3.48
"analytical and bioanalytical chemistry",2012,3.48
"clinical immunology",2012,3.48
"biology direct",2015,3.47
"planta",2017,3.47
"cancer biology and therapy",2012,3.47
"cognitive psychology",2012,3.47
"epidemics",2017,3.47
"environmental health: a global access science source",2013,3.47
"autism research",2015,3.47
"biochimie",2013,3.47
"calcified tissue international",2015,3.47
"chembiochem",2012,3.47
"journal of biological rhythms",2013,3.47
"biophysical journal",2012,3.47
"autism research",2016,3.46
"aquatic toxicology",2012,3.46
